date,btc_monthly_price,btc_open,btc_high,btc_low,btc_close,btc_volume,tot_for_purch_us_sec,tot_for_sale_us_sec,net_tot_for_purch_us_sec,net_tot_priv_for_purch_us_sec,net_priv_for_purch_us_treas_bond_note,net_priv_for_purch_us_gov_agcy_bond,net_priv_for_purch_us_corp_bond,net_priv_for_purch_us_equity,net_tot_gov_for_purch_us_sec,net_gov_for_purch_us_treas_bond_note,net_gov_for_purch_us_gov_agcy_bond,net_gov_for_purch_us_corp_bond,net_gov_for_purch_us_equity,tot_dom_sale_for_sec,tot_dom_purch_for_sec,net_dom_purch_for_sec,net_dom_purch_for_bond,net_dom_purch_for_equity,net_for_purch_dom_longterm_sec,net_for_purch_us_t_bills_custodial,tot_for_hold_us_t_bills,tot_priv_for_hold_us_t_bills,tot_gov_for_hold_us_t_bills,tot_month_change_dom_bank_liab_for_inflow,month_change_bank_liab_priv_for_inflow,month_change_bank_liab_gov_for_inflow,month_change_bank_liab_all_for_inflow,cpi_u,gold_price,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,usdx_close,usdx_open,usdx_high,usdx_low,10yr_bond_close,10yr_bond_open,10yr_bond_high,10yr_bond_low,10yr_bond_pct_change
2024-Jul,62753.14,62673.60634,69987.54221,53717.37543,64619.24965,9.35E+11,5513140,5378391,134749,162040,88099,9244,28433,36264,-27291,-32190,-5026,2428,7497,1601394,1600751,643,4252,-3609,135392,14336,16152,12827,3325,6751,156479,141829,14650,314.54,2398.2,5471.08,5669.67,5390.95,5522.3,80160390000,101.624,103.845,104.235,100.4,4.033,4.412,4.493,4.031,-0.0817
2024-Jun,65995.4,67489.61178,71907.84898,58601.70007,62678.29208,1.08E+12,5178803,5062438,116365,104724,18080,10587,16550,59507,11641,-6436,-3496,1179,20394,1526226,1562054,-35828,-29030,-6798,80537,-38852,6169,-7256,13425,50266,91951,65625,26326,314.175,2326.44,5297.15,5523.64,5234.32,5460.48,76025620000,103.859,105.395,105.74,103.34,4.392,4.493,4.501,4.188,-0.0245
2024-May,65154.09,60609.49795,71946.46269,56555.29405,67491.41701,9.53E+11,5265175,5281259,-16084,-17036,50453,-9815,8009,-65683,952,-6040,-3705,5846,4851,1539383,1577265,-37882,-23073,-14809,-53966,4669,-9801,-1928,-7873,65499,16202,7651,8551,314.069,2351.13,5029.03,5341.88,5011.05,5277.51,86849720000,105.545,104.565,105.805,103.48,4.503,4.682,4.694,4.313,-0.0383
2024-Apr,65933.07,71333.48472,72715.35961,59120.06805,60636.85678,7.52E+11,5100645,4944463,156182,124736,36389,-773,22165,66955,31446,38717,-6373,1891,-2789,1491694,1528075,-36381,-27505,-8876,119801,-3314,-12570,-8328,-4242,-55916,60571,39052,21519,313.548,2331.45,5257.97,5263.95,4953.56,5035.69,81747170000,104.627,106.21,106.38,103.965,4.682,4.19,4.739,4.188,0.1131
2024-Mar,67470.05,61168.06243,73750.07385,59323.90894,71333.64793,8.74E+11,5129838,4935980,193858,160009,12725,11165,47230,88889,33849,30710,-10186,4701,8624,1462230,1543227,-80997,-38258,-42739,112861,-22801,1547,879,668,26217,116277,36897,79380,312.332,2158.01,5098.51,5264.85,5056.82,5254.35,86299510000,106.1,104.25,106.325,103.645,4.206,4.254,4.348,4.038,-0.0113
2024-Feb,49545.54,42569.7614,63913.13181,41879.18999,61198.3829,1.02E+12,4822729,4694652,128077,109506,70087,5401,40203,-6185,18571,15515,-5228,3742,4542,1254426,1326181,-71755,-40583,-31172,56322,33570,34186,18211,15975,-32388,57504,51654,5850,310.326,2023.24,4861.11,5111.06,4853.52,5096.27,82066930000,104.269,104.06,104.45,102.3,4.254,3.931,4.354,3.816,0.0858
2024-Jan,42897.41,42280.23528,48969.3714,38521.89389,42582.60639,1.45E+12,4425599,4359247,66352,52548,42308,12519,17424,-19703,13804,6918,-513,6122,1277,1322657,1367581,-44924,-42299,-2625,21428,-31979,-27832,-28177,345,-18115,-28666,-56416,27750,308.417,2034.04,4745.2,4931.09,4682.11,4845.65,81737880000,104.098,103.38,104.875,102.735,3.918,3.899,4.198,3.881,0.0135
2023-Dec,42456.55,37718.00963,44705.51501,37629.35891,42265.18565,8.31E+11,4279654,4156986,122668,85190,-3016,5451,22137,60618,37478,24172,-818,2069,12055,1249075,1228760,20315,-194,20509,142983,-842,18042,14050,3992,-20532,121609,78702,42907,306.746,2026.18,4559.43,4793.3,4546.5,4769.83,81530670000,103.089,101.065,103.64,101.03,3.866,4.321,4.349,3.783,-0.1072
2023-Nov,36535.34,34657.27532,38415.3382,34133.43962,37712.74777,8.26E+11,4435039,4310858,124181,158647,106995,20990,31420,-758,-34466,-32329,-4551,2713,-299,995878,1018931,-23053,-9564,-13489,101128,33528,29224,18034,11190,88381,223037,208635,14402,307.051,1984.11,4201.27,4587.64,4197.74,4567.8,80970570000,101.029,103.29,104.265,100.32,4.33,4.926,4.935,4.247,-0.121
2023-Oct,29664.79,26967.39743,35150.4335,26558.32078,34667.77936,7.22E+11,4305204,4348934,-43730,-19593,47800,330,978,-68701,-24137,-20091,5499,1814,-11359,1012491,994237,18254,-9441,27695,-25476,-69799,-25500,-25814,314,10621,-84654,-71383,-13271,307.671,1916.25,4284.52,4393.57,4103.78,4193.8,83519460000,103.428,106.53,106.985,102.38,4.926,4.614,5.021,4.53,0.0758
